# V_PS_R,V_LED_R,I_R,V_PS_Y,V_LED_Y,I_Y,V_PS_G,V_LED_G,I_G,V_PS_B,V_LED_B,I_B,V_PS_W,V_LED_W,I_W
5.152,2.313,0.009,5.153,2.473,0.008,5.152,2.716,0.007,5.152,2.783,0.007,5.152,2.821,0.007
5.253,2.327,0.009,5.252,2.463,0.008,5.253,2.728,0.008,5.253,2.790,0.007,5.253,2.828,0.007
5.354,2.339,0.009,5.355,2.486,0.009,5.354,2.740,0.008,5.354,2.796,0.008,5.355,2.834,0.008
5.454,2.354,0.009,5.455,2.510,0.009,5.455,2.752,0.008,5.455,2.803,0.008,5.455,2.840,0.008
5.557,2.396,0.010,5.557,2.516,0.009,5.557,2.764,0.008,5.556,2.809,0.008,5.557,2.846,0.008
5.657,2.386,0.010,5.657,2.549,0.009,5.657,2.774,0.009,5.656,2.815,0.009,5.657,2.851,0.009
5.759,2.395,0.010,5.759,2.607,0.010,5.759,2.786,0.009,5.758,2.821,0.009,5.759,2.856,0.009
5.859,2.413,0.010,5.859,2.632,0.010,5.859,2.797,0.009,5.859,2.828,0.009,5.859,2.861,0.009
5.961,2.414,0.011,5.961,2.688,0.010,5.961,2.809,0.010,5.961,2.835,0.009,5.961,2.867,0.009
6.061,2.428,0.011,6.061,2.714,0.010,6.061,2.818,0.010,6.061,2.840,0.010,6.061,2.871,0.010
6.163,2.436,0.011,6.163,2.736,0.010,6.163,2.831,0.010,6.163,2.848,0.010,6.163,2.877,0.010
6.263,2.453,0.012,6.263,2.753,0.011,6.263,2.841,0.010,6.263,2.852,0.010,6.263,2.882,0.010
6.365,2.403,0.012,6.365,2.765,0.011,6.365,2.850,0.011,6.365,2.857,0.011,6.365,2.888,0.011
6.465,2.417,0.012,6.465,2.789,0.011,6.465,2.860,0.011,6.465,2.863,0.011,6.465,2.890,0.011
6.567,2.432,0.013,6.567,2.815,0.011,6.567,2.871,0.011,6.567,2.869,0.011,6.567,2.896,0.011
6.667,2.445,0.013,6.667,2.834,0.012,6.667,2.880,0.011,6.667,2.873,0.011,6.667,2.901,0.011
6.769,2.461,0.013,6.769,2.764,0.012,6.769,2.807,0.012,6.769,2.807,0.012,6.769,2.906,0.012
6.869,2.474,0.013,6.869,2.820,0.012,6.869,2.777,0.012,6.869,2.820,0.012,6.869,2.820,0.012
6.971,2.489,0.014,6.971,2.793,0.013,6.971,2.793,0.013,6.971,2.793,0.013,6.971,2.836,0.013
7.071,2.459,0.014,7.071,2.849,0.013,7.071,2.806,0.013,7.071,2.806,0.013,7.071,2.849,0.013
7.173,2.475,0.014,7.173,2.908,0.013,7.173,2.821,0.013,7.173,2.821,0.013,7.173,2.865,0.013
7.273,2.488,0.014,7.273,2.575,0.014,7.273,2.835,0.013,7.273,2.835,0.013,7.273,2.835,0.013
7.375,2.504,0.015,7.375,2.590,0.014,7.375,2.893,0.014,7.375,2.850,0.014,7.375,2.850,0.014
7.475,2.474,0.015,7.475,2.604,0.015,7.475,2.863,0.014,7.475,2.820,0.014,7.475,2.820,0.014
7.577,2.532,0.015,7.577,2.705,0.015,7.577,2.879,0.014,7.577,2.835,0.014,7.577,2.879,0.014
7.677,2.546,0.016,7.677,2.719,0.015,7.677,2.892,0.014,7.677,2.849,0.015,7.677,2.849,0.015
7.779,2.561,0.016,7.779,2.692,0.015,7.779,2.907,0.015,7.779,2.864,0.015,7.779,2.864,0.015
7.880,2.532,0.016,7.880,2.662,0.016,7.880,2.878,0.015,7.880,2.835,0.015,7.880,2.878,0.015
7.981,2.547,0.016,7.981,2.677,0.016,7.981,2.893,0.015,7.981,2.849,0.016,7.981,2.894,0.015
8.081,2.561,0.017,8.081,2.691,0.016,8.081,2.906,0.016,8.081,2.863,0.016,8.081,2.907,0.016
8.183,2.533,0.017,8.183,2.662,0.017,8.183,2.922,0.016,8.183,2.879,0.016,8.183,2.879,0.016
8.283,2.589,0.017,8.283,2.719,0.017,8.283,2.936,0.016,8.283,2.893,0.016,8.283,2.893,0.016
8.385,2.605,0.018,8.385,2.691,0.017,8.385,2.908,0.017,8.385,2.908,0.017,8.385,2.908,0.017
8.485,2.575,0.018,8.485,2.662,0.018,8.485,2.965,0.017,8.485,2.878,0.017,8.485,2.921,0.017
8.587,2.590,0.018,8.587,2.677,0.018,8.587,2.937,0.017,8.587,2.893,0.017,8.587,2.893,0.017
8.687,2.647,0.018,8.687,2.647,0.018,8.687,2.950,0.017,8.687,2.907,0.018,8.687,2.907,0.018
8.789,2.662,0.019,8.789,2.662,0.019,8.789,2.965,0.018,8.789,2.879,0.018,8.789,2.879,0.018
8.889,2.632,0.019,8.889,2.675,0.019,8.889,2.935,0.018,8.889,2.892,0.018,8.889,2.935,0.018
8.991,2.648,0.019,8.991,2.691,0.019,8.991,2.994,0.018,8.991,2.907,0.018,8.991,2.951,0.018
9.091,2.704,0.019,9.091,2.748,0.019,9.091,3.007,0.018,9.091,2.921,0.019,9.091,2.921,0.019
9.193,2.676,0.020,9.193,2.763,0.019,9.193,2.979,0.019,9.193,2.936,0.019,9.193,2.936,0.019
9.293,2.646,0.020,9.293,2.776,0.020,9.293,2.993,0.019,9.293,2.950,0.019,9.293,2.950,0.019
9.395,2.662,0.020,9.395,2.748,0.020,9.395,3.008,0.019,9.395,2.921,0.020,9.395,2.921,0.020
9.496,2.719,0.021,9.495,2.718,0.021,9.495,2.978,0.020,9.495,2.935,0.020,9.495,2.935,0.020
9.595,2.732,0.021,9.595,2.689,0.021,9.595,3.035,0.020,9.596,2.949,0.020,9.596,2.949,0.020
9.697,2.747,0.021,9.697,2.661,0.021,9.697,3.007,0.020,9.698,2.921,0.021,9.697,2.964,0.020
9.798,2.762,0.021,9.798,2.675,0.022,9.797,3.020,0.021,9.797,2.934,0.021,9.797,2.934,0.021
9.899,2.776,0.022,9.899,2.689,0.022,9.900,3.037,0.021,9.900,2.950,0.021,9.899,2.993,0.021
10.000,2.790,0.022,10.000,2.703,0.022,10.000,3.050,0.021,10.000,2.964,0.021,9.999,2.963,0.021
